17:55:16.330683 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 3, 0) = 0x7f3b49f56000
17:55:16.331161 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f3b49f54000
17:55:16.331342 mmap(NULL, 140408, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b49f31000
17:55:16.331402 mmap(0x7f3b49f38000, 69632, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x7000) = 0x7f3b49f38000
17:55:16.331466 mmap(0x7f3b49f49000, 20480, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x18000) = 0x7f3b49f49000
17:55:16.331524 mmap(0x7f3b49f4e000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1c000) = 0x7f3b49f4e000
17:55:16.331589 mmap(0x7f3b49f50000, 13432, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f3b49f50000
17:55:16.363381 mmap(NULL, 44726201, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b47489000
17:55:16.363600 mmap(0x7f3b49d5f000, 1794048, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28d5000) = 0x7f3b49d5f000
17:55:16.375974 mmap(0x7f3b49f15000, 112569, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f3b49f15000
17:55:16.392791 mmap(NULL, 74005641, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b42df5000
17:55:16.392882 mmap(0x7f3b46dc0000, 6762496, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x3fca000) = 0x7f3b46dc0000
17:55:16.411026 mmap(0x7f3b47433000, 351369, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f3b47433000
17:55:16.431967 mmap(NULL, 1972224, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b42c13000
17:55:16.432104 mmap(0x7f3b42ca9000, 987136, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x96000) = 0x7f3b42ca9000
17:55:16.432168 mmap(0x7f3b42d9a000, 299008, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x187000) = 0x7f3b42d9a000
17:55:16.432222 mmap(0x7f3b42de4000, 57344, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1d0000) = 0x7f3b42de4000
17:55:16.432290 mmap(0x7f3b42df2000, 10240, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f3b42df2000
17:55:16.432491 mmap(NULL, 1368336, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b42ac4000
17:55:16.432548 mmap(0x7f3b42ad3000, 684032, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0xf000) = 0x7f3b42ad3000
17:55:16.432606 mmap(0x7f3b42b7a000, 618496, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0xb6000) = 0x7f3b42b7a000
17:55:16.432661 mmap(0x7f3b42c11000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x14c000) = 0x7f3b42c11000
17:55:16.432899 mmap(NULL, 107592, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b42aa9000
17:55:16.432963 mmap(0x7f3b42aac000, 73728, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x3000) = 0x7f3b42aac000
17:55:16.433023 mmap(0x7f3b42abe000, 16384, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x15000) = 0x7f3b42abe000
17:55:16.433077 mmap(0x7f3b42ac2000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x18000) = 0x7f3b42ac2000
