18:06:27.885090 mmap(NULL, 16512, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f1405a000
18:06:27.885534 mmap(0x7f4f1405b000, 4096, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x1000) = 0x7f4f1405b000
18:06:27.885751 mmap(0x7f4f1405c000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x2000) = 0x7f4f1405c000
18:06:27.885918 mmap(0x7f4f1405d000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x2000) = 0x7f4f1405d000
18:06:27.886327 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 28, 0) = 0x7f4f064cf000
18:06:27.886761 mmap(NULL, 9611352, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f0462a000
18:06:27.886956 mmap(0x7f4f0472a000, 5079040, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x100000) = 0x7f4f0472a000
18:06:27.887060 mmap(0x7f4f04c02000, 2715648, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x5d8000) = 0x7f4f04c02000
18:06:27.887154 mmap(0x7f4f04e9a000, 761856, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x86f000) = 0x7f4f04e9a000
18:06:27.887253 mmap(0x7f4f04f54000, 2136, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f4f04f54000
18:06:37.497141 mmap(NULL, 353824, PROT_READ, MAP_SHARED, 27, 0) = 0x7f4f0648b000
18:06:37.678674 mmap(NULL, 18446944, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4ee2e68000
18:06:37.678890 mmap(0x7f4ee31a7000, 11436032, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x33f000) = 0x7f4ee31a7000
18:06:37.678972 mmap(0x7f4ee3c8f000, 2551808, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xe27000) = 0x7f4ee3c8f000
18:06:37.679030 mmap(0x7f4ee3efe000, 913408, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1095000) = 0x7f4ee3efe000
18:06:37.685265 mmap(0x7f4ee3fdd000, 141920, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f4ee3fdd000
18:06:37.713769 mmap(NULL, 865688, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f04556000
18:06:37.713873 mmap(0x7f4f04586000, 462848, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x30000) = 0x7f4f04586000
18:06:37.713987 mmap(0x7f4f045f7000, 151552, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xa1000) = 0x7f4f045f7000
18:06:37.714078 mmap(0x7f4f0461c000, 53248, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xc5000) = 0x7f4f0461c000
18:06:37.719650 mmap(0x7f4f04629000, 1432, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f4f04629000
18:06:37.955662 mmap(NULL, 79256, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f06477000
18:06:37.955887 mmap(0x7f4f0647c000, 36864, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x5000) = 0x7f4f0647c000
18:06:37.956009 mmap(0x7f4f06485000, 12288, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xe000) = 0x7f4f06485000
18:06:37.956070 mmap(0x7f4f06489000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x11000) = 0x7f4f06489000
18:06:37.957007 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 27, 0) = 0x7f4f06464000
18:06:37.957237 mmap(NULL, 452760, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f044e7000
18:06:37.957325 mmap(0x7f4f044ed000, 245760, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x6000) = 0x7f4f044ed000
18:06:37.957387 mmap(0x7f4f04529000, 159744, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x42000) = 0x7f4f04529000
18:06:37.957441 mmap(0x7f4f04551000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x69000) = 0x7f4f04551000
18:06:37.981763 mmap(NULL, 83384, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f06462000
18:06:37.981898 mmap(0x7f4f06467000, 40960, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x5000) = 0x7f4f06467000
18:06:37.981966 mmap(0x7f4f06471000, 12288, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xf000) = 0x7f4f06471000
18:06:37.982020 mmap(0x7f4f06475000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x12000) = 0x7f4f06475000
18:06:37.983009 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 27, 0) = 0x7f4f0644f000
18:06:37.991690 mmap(NULL, 24592, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f14053000
18:06:37.991801 mmap(0x7f4f14054000, 12288, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1000) = 0x7f4f14054000
18:06:37.991875 mmap(0x7f4f14057000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x4000) = 0x7f4f14057000
18:06:37.991929 mmap(0x7f4f14058000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x4000) = 0x7f4f14058000
18:06:38.321960 mmap(NULL, 87528, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f0644c000
18:06:38.322251 mmap(0x7f4f06451000, 45056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x5000) = 0x7f4f06451000
18:06:38.322346 mmap(0x7f4f0645c000, 12288, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x10000) = 0x7f4f0645c000
18:06:38.322402 mmap(0x7f4f06460000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x13000) = 0x7f4f06460000
18:06:38.324297 mmap(NULL, 74070, PROT_READ, MAP_PRIVATE, 27, 0) = 0x7f4f06439000
18:06:38.340770 mmap(NULL, 16616, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f1404e000
18:06:38.340879 mmap(0x7f4f1404f000, 4096, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1000) = 0x7f4f1404f000
18:06:38.340949 mmap(0x7f4f14050000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x2000) = 0x7f4f14050000
